Wall time,Step,Value
1759882393.7118146,22490,57.0
1759882409.4963245,22510,57.0
1759882456.1714306,22570,57.0
1759882472.0617304,22590,57.0
1759882487.6707034,22610,57.0
1759882550.3958316,22690,57.0
1759882566.1366818,22710,57.0
1759882581.7334259,22730,57.0
1759882660.074177,22830,57.0
1759882691.373531,22870,57.0
1759882722.8305519,22910,57.0
1759882738.4119308,22930,57.0
1759882754.0485816,22950,57.0
1759882800.9313154,23010,57.0
1759882816.5127985,23030,57.0
1759882832.0347505,23050,57.0
1759882847.6702855,23070,57.0
1759882863.3504524,23090,57.0
1759882879.0630739,23110,57.0
1759882894.6176999,23130,57.0
1759882910.110522,23150,57.0
1759882941.2783515,23190,57.0
1759882987.9436588,23250,57.0
1759883019.2004218,23290,57.0
1759883034.7444742,23310,57.0
1759883230.0273511,23445,57.0
1759883246.320884,23465,57.0
1759883278.388541,23505,57.0
1759883294.1779256,23525,57.0
1759883310.247403,23545,57.0
1759883326.114712,23565,57.0
1759883342.029284,23585,57.0
1759883374.116416,23625,57.0
1759883389.9337854,23645,57.0
1759883405.7720642,23665,57.0
1759883421.6103902,23685,57.0
1759883453.4617338,23725,57.0
1759883501.0386364,23785,57.0
1759883548.5388613,23845,57.0
1759883564.5213776,23865,57.0
1759883596.5912063,23905,57.0
1759883612.1272454,23925,57.0
1759883628.053626,23945,57.0
1759883643.9848568,23965,57.0
1759883659.8261666,23985,57.0
1759883675.702565,24005,57.0
1759883707.1169574,24045,57.0
1759883770.2622519,24125,57.0
1759883786.0385785,24145,57.0
1759883817.60151,24185,57.0
1759883849.2168167,24225,57.0
1759883880.9415493,24265,57.0
1759883896.8892014,24285,57.0
1759883975.6498299,24385,57.0
1759883991.620971,24405,57.0
1759884007.2038043,24425,57.0
1759884038.891261,24465,57.0
1759884054.7511442,24485,57.0
1759884070.9236162,24505,57.0
1759884133.9763458,24585,57.0
1759884165.3960555,24625,57.0
1759884197.9041188,24665,57.0
1759884229.6601632,24705,57.0
1759884245.4321432,24725,57.0
1759884261.1178813,24745,57.0
1759884308.935445,24805,57.0
1759884324.740761,24825,57.0
1759884340.4615376,24845,57.0
1759884356.334827,24865,57.0
1759884474.5030367,24900,57.0
1759884490.298641,24920,57.0
1759884538.064856,24980,57.0
1759884554.2359767,25000,57.0
1759884601.6070175,25060,57.0
1759884617.4344642,25080,57.0
1759884633.4610484,25100,57.0
1759884664.6762133,25140,57.0
1759884680.4459949,25160,57.0
1759884727.4996681,25220,57.0
1759884743.1929226,25240,57.0
1759884759.1363933,25260,57.0
1759884791.2389247,25300,57.0
1759884806.9346046,25320,57.0
1759884869.917678,25400,57.0
1759884885.567904,25420,57.0
1759884916.8256757,25460,57.0
1759884963.7556262,25520,57.0
1759884979.3451273,25540,57.0
1759885027.0182133,25600,57.0
1759885042.4784167,25620,57.0
1759885121.787977,25720,57.0
1759885153.2625024,25760,57.0
1759885169.0912542,25780,57.0
1759885184.857505,25800,57.0
1759885200.2805037,25820,57.0
1759885215.881804,25840,57.0
1759885231.489773,25860,57.0
1759885247.0596497,25880,57.0
1759885294.237951,25940,57.0
1759885309.8807104,25960,57.0
1759885325.6884181,25980,57.0
1759885341.5446835,26000,57.0
1759885373.6965694,26040,57.0
1759885405.0918133,26080,57.0
1759885420.9571052,26100,57.0
1759885467.7023644,26160,57.0
1759885483.1963546,26180,57.0
1759885530.0506892,26240,57.0
1759885577.1131546,26300,57.0
1759885592.493539,26320,57.0
1759885639.3493578,26380,57.0
1759885868.895087,26555,57.0
1759885885.135996,26575,57.0
1759885901.164711,26595,57.0
1759885933.328366,26635,57.0
1759885965.3072174,26675,57.0
1759886013.3198225,26735,57.0
1759886060.8684306,26795,57.0
1759886092.6704588,26835,57.0
1759886140.7533295,26895,57.0
1759886188.7880373,26955,57.0
1759886220.7404432,26995,57.0
1759886236.7878504,27015,57.0
1759886268.6393206,27055,57.0
1759886284.5627162,27075,57.0
1759886316.8105085,27115,57.0
1759886348.461428,27155,57.0
1759886411.882668,27235,57.0
1759886459.3936434,27295,57.0
1759886475.2357993,27315,57.0
1759886490.9818351,27335,57.0
1759886569.944281,27435,57.0
1759886601.548165,27475,57.0
1759886617.2812629,27495,57.0
1759886633.1741073,27515,57.0
1759886648.9636464,27535,57.0
1759886664.866712,27555,57.0
1759886696.6835864,27595,57.0
1759886807.1770277,27735,57.0
1759886902.4874837,27855,57.0
1759886949.6114845,27915,57.0
1759886965.1949317,27935,57.0
1759886996.804806,27975,57.0
1759887112.3858716,28010,57.0
1759887160.1082995,28070,57.0
1759887176.1400616,28090,57.0
1759887207.8906255,28130,57.0
1759887223.9673672,28150,57.0
1759887239.9870462,28170,57.0
1759887255.9513166,28190,57.0
1759887272.0811098,28210,57.0
1759887303.4516687,28250,57.0
1759887366.7112827,28330,57.0
1759887382.4539564,28350,57.0
1759887398.422791,28370,57.0
1759887414.2706223,28390,57.0
1759887430.2738328,28410,57.0
1759887493.3345149,28490,57.0
1759887509.062476,28510,57.0
1759887540.3827248,28550,57.0
1759887556.1075487,28570,57.0
1759887618.869615,28650,57.0
1759887634.460472,28670,57.0
1759887697.3529525,28750,57.0
1759887713.1387389,28770,57.0
1759887729.0759234,28790,57.0
1759887776.1756883,28850,57.0
1759887791.9053783,28870,57.0
1759887823.361023,28910,57.0
1759887870.779954,28970,57.0
1759887886.8003302,28990,57.0
1759887918.534238,29030,57.0
1759887934.234602,29050,57.0
1759887981.5785215,29110,57.0
1759888012.8933566,29150,57.0
1759888138.7836795,29310,57.0
1759888185.8821208,29370,57.0
1759888201.591964,29390,57.0
1759888232.9834514,29430,57.0
1759888264.4425623,29470,57.0
1759888280.1307817,29490,57.0
1759888557.0713823,29725,57.0
1759888573.047588,29745,57.0
1759888589.0877964,29765,57.0
1759888605.0106137,29785,57.0
1759888637.382783,29825,57.0
1759888669.7528474,29865,57.0
1759888685.9461787,29885,57.0
1759888702.797567,29905,57.0
1759888718.5041013,29925,57.0
1759888766.8828943,29985,57.0
1759888799.0174546,30025,57.0
1759888814.9746277,30045,57.0
1759888831.057584,30065,57.0
1759888847.185505,30085,57.0
1759888863.1541238,30105,57.0
1759888879.1515176,30125,57.0
1759888895.2208314,30145,57.0
1759888927.474209,30185,57.0
1759888943.700257,30205,57.0
1759888959.448742,30225,57.0
1759888975.3175097,30245,57.0
1759888991.2622898,30265,57.0
1759889007.3420124,30285,57.0
1759889023.4720933,30305,57.0
1759889039.217821,30325,57.0
1759889055.0985672,30345,57.0
1759889071.100736,30365,57.0
1759889087.008477,30385,57.0
1759889183.2662592,30505,57.0
1759889230.9883645,30565,57.0
1759889247.0504334,30585,57.0
1759889278.9272993,30625,57.0
